bet_id,recommended_at,date,gamePk,matchup,first_pitch,market,side,line,book,price,fair_prob,fair_american,edge_pred,confidence,units_risked,status,units_pl,final_runs_h,final_runs_a,f5_runs,first_inn_runs,settled_at,player_id,player_name,actual_result,closing_price,closing_fair_prob,clv_pct,beat_close,notes
104,2026-05-13T17:06:40.359941Z,2026-05-13,824519,Washington Nationals @ Cincinnati Reds,2026-05-13T22:40:00Z,moneyline,away,,betmgm,140,0.4415,127,0.0596,8,1.0,won,1.4000,7,8,12,5,2026-05-14T16:33:33.851233Z,,,,,,,,
105,2026-05-14T16:35:34.197240Z,2026-05-14,824517,Washington Nationals @ Cincinnati Reds,2026-05-14T16:40:00Z,moneyline,away,,betmgm,135,0.4502,122,0.0580,8,1.0,lost,-1.0000,15,1,9,0,2026-05-15T16:26:57.921326Z,,,,,,,,
106,2026-05-15T16:31:17.075331Z,2026-05-15,824280,Toronto Blue Jays @ Detroit Tigers,2026-05-15T22:45:00Z,moneyline,away,,fanduel,-124,0.5711,-133,0.0317,6,0.5,lost,-0.5000,3,2,3,0,2026-05-16T15:40:35.882859Z,,,,,,,,
107,2026-05-16T16:40:03.261691Z,2026-05-16,825007,San Francisco Giants @ Athletics,2026-05-17T01:40:00Z,moneyline,home,,fanduel,-134,0.5914,-145,0.0327,6,0.5,lost,-0.5000,4,6,6,1,2026-05-17T15:44:00.814812Z,,,,,,,,
108,2026-05-17T15:47:26.170508Z,2026-05-17,823381,Philadelphia Phillies @ Pittsburgh Pirates,2026-05-17T17:35:00Z,moneyline,away,,fanduel,110,0.5086,-104,0.0681,9,1.5,won,1.6500,0,6,2,0,2026-05-18T17:19:51.200552Z,,,,,,,,
109,2026-05-17T15:47:26.170508Z,2026-05-17,825006,San Francisco Giants @ Athletics,2026-05-17T20:05:00Z,moneyline,home,,fanduel,-148,0.6192,-163,0.0376,7,0.5,lost,-0.5000,1,10,3,0,2026-05-18T17:19:51.200552Z,,,,,,,,
110,2026-05-17T16:44:15.037773Z,2026-05-17,823628,New York Yankees @ New York Mets,2026-05-17T17:40:00Z,moneyline,home,,betmgm,-110,0.5430,-119,0.0366,6,0.5,won,0.4545,7,6,2,0,2026-05-18T17:19:51.200552Z,,,,,,,,
111,2026-05-20T17:50:05.323954Z,2026-05-20,824032,Athletics @ Los Angeles Angels,2026-05-21T01:38:00Z,moneyline,away,,draftkings,-123,0.5753,-135,0.0430,7,0.5,won,0.4065,5,6,8,4,2026-05-21T17:20:40.229980Z,,,,,,,,
112,2026-05-20T17:50:05.323954Z,2026-05-20,824355,Texas Rangers @ Colorado Rockies,2026-05-20T19:10:00Z,moneyline,away,,fanduel,-118,0.5595,-127,0.0337,6,0.5,won,0.4237,4,5,7,1,2026-05-21T17:20:40.229980Z,,,,,,,,
113,2026-05-20T17:50:05.323954Z,2026-05-20,824678,Milwaukee Brewers @ Chicago Cubs,2026-05-20T23:40:00Z,moneyline,away,,fanduel,100,0.5156,-106,0.0312,6,0.5,won,0.5000,0,5,4,0,2026-05-21T17:20:40.229980Z,,,,,,,,
